regulator	target	beta.sign.sum	beta.non.zero	var.exp.median	var.exp.ranksum	prior
Chd7	Slamf7	1	1	0	474809	0
Ing2	Wipf1	1	1	0	474809	0
Pbx2	Pdcd1lg2	1	1	0	474809	0
Hmgn1	Crybg3	1	1	0	474809.5	0
Atf6	Rab6	1	1	0	474810	0
Cebpb	Crybg3	-1	1	0	474810	1
Rara	Fam102a	-1	1	0	474810	0
Hopx	Tle6	1	1	0	474810.5	0
Mxi1	Map3k5	1	1	0	474810.5	0
Cebpb	Dip2b	1	1	0	474811	0
Dnmt3b	C1s	-1	1	0	474811	0
Sox4	Map3k1	1	1	0	474811	1
Vax2	Siah1a	-1	1	0	474811	0
Fli1	2610019f03rik	1	1	0	474811.5	0
Maf	Pgm2	-1	1	0	474811.5	1
Rora	Acsl4	1	1	0	474811.5	0
Txk	Il3	-1	1	0	474811.5	0
Batf	Aqp3	1	1	0	474813	0
Thap4	Ncoa1	-1	1	0	474815	0
Fbxo18	Armcx2	1	1	0	474815.5	0
Max	Cnot1	-1	1	0	474815.5	0
Mxi1	Cish	1	1	0	474815.5	0
Kdm2b	Tbx21	1	1	0	474816	0
Nfil3	Aim1	1	1	0	474816.5	0
Prkrir	Ccr5	-1	1	0	474816.5	0
Dnmt3b	Perp	-1	1	0	474817	0
Fbxo18	Peci	1	1	0	474818	0
Creb1	Cd70	1	1	0	474819	0
Exo1	B3gnt2	-1	1	0	474819	0
Nfil3	Spn	1	1	0	474819	0
Mxi1	Stab1	1	1	0	474819.5	0
Mxd1	Sphk1	1	1	0	474821	0
Zfp426	Vav1	-1	1	0	474821	0
Tox	Chic2	1	1	0	474821.5	0
Pbx2	Srxn1	-1	1	0	474822	0
Phtf2	Sytl1	-1	1	0	474822	0
Rora	Cd24a	1	1	0	474823	0
Sap30	Ptprcap	1	1	0	474823	0
Tcf25	Abcb1b	-1	1	0	474823	0
Pknox1	Tom1	1	1	0	474823.5	0
Nfil3	Klf4	1	1	0	474824	0
Aes	2310008h04rik	1	1	0	474825	0
Nfatc2	Mapk6	1	1	0	474825	0
Trps1	Ptger4	1	1	0	474825.5	0
Ikzf3	Tec	1	1	0	474826	0
Rbpj	Isg20	1	1	0	474826	0
Eomes	Tmem173	-1	1	0	474826.5	0
Rorc	2010002n04rik	1	1	0	474826.5	0
Nfatc2	Rexo4	1	1	0	474827	0
Aes	Enah	1	1	0	474827.5	0
Ets2	Fam114a2	1	1	0	474828	0
Smarca2	Asnsd1	1	1	0	474828	0
Stat3	Chst12	1	1	0	474828	0
Xrcc5	Ssbp4	-1	1	0	474828	0
Tcf12	Il3	1	1	0	474828.5	0
Chd7	Snx9	1	1	0	474829	0
Etv6	Gdpd5	-1	1	0	474829	1
Hist3h2a	Hsd17b7	-1	1	0	474829	0
Atf6	Abhd6	-1	1	0	474830	0
Rad52	Pcbp4	1	1	0	474830	0
Smarca2	Cnot1	1	1	0	474830	0
Akna	Rnf113a1	-1	1	0	474831	0
Dnmt3a	Rcan3	-1	1	0	474832.5	0
Egr2	Pcbp4	1	1	0	474832.5	1
Arid3a	Trps1	1	1	0	474833	1
Lef1	Sh3gl3	-1	1	0	474833	1
Nfil3	Phlda3	-1	1	0	474834	0
Crem	Cish	1	1	0	474834.5	0
Txk	Abcb1b	-1	1	0	474834.5	0
Gata3	Sertad3	1	1	0	474835	1
Sra1	Aldoa	1	1	0	474835	0
Lrrfip1	Il7r	1	1	0	474835.5	0
Lef1	Hlcs	1	1	0	474836	0
Zfp36l1	Batf3	-1	1	0	474836	0
Dnmt3a	Nefh	1	1	0	474836.5	0
Rad52	Ralb	1	1	0	474836.5	0
Smarca2	Oas1b	1	1	0	474836.5	0
Irf5	Osbpl2	-1	1	0	474837	0
Stat2	Gmfg	1	1	0	474837	0
Cebpb	Acvrl1	-1	1	0	474838	0
Exo1	Sptlc1	-1	1	0	474838	0
Nfatc2	Xylt2	1	1	0	474838	0
Rel	Fancm	-1	1	0	474838	0
Foxp1	Chchd7	-1	1	0	474838.5	1
Irf5	Pcgf1	-1	1	0	474838.5	0
Nfatc1	Aldh3a2	-1	1	0	474838.5	0
Zfp239	Cish	-1	1	0	474838.5	0
Atf6	Foxo1	1	1	0	474839.5	0
Foxp1	Icam1	1	1	0	474839.5	0
Stat4	Apbb1ip	-1	1	0	474839.5	0
Lrrfip1	Tmem176a	1	1	0	474840	0
Foxp1	Pak1	1	1	0	474840.5	0
Tox	Psrc1	-1	1	0	474840.5	0
Zfp36l1	S100a4	-1	1	0	474840.5	0
Rad52	Rasal1	-1	1	0	474841.5	0
Ift57	Arhgdig	1	1	0	474842	0
Hmgn1	S100a4	-1	1	0	474842.5	0
Bcl11b	Spsb1	1	1	0	474843	0
Bcl3	Clybl	-1	1	0	474843.5	0
Ing2	Ucp2	1	1	0	474843.5	0
Hif1a	Zscan21	-1	1	0	474844	0
Lrrfip1	Kdm2b	1	1	0	474844	0
Fli1	Ptp4a1	-1	1	0	474844.5	0
Zfp239	Ifitm1	-1	1	0	474845	0
H2afx	Pgam1	1	1	0	474845.5	0
Dnmt3b	Rnf19b	-1	1	0	474846	0
Klf4	Flt3l	-1	1	0	474846	0
Crebbp	Prkch	1	1	0	474846.5	0
Ing2	Pgm2	1	1	0	474846.5	0
Nfe2l2	Slc39a1	1	1	0	474846.5	0
Ahr	Marcks	-1	1	0	474847	0
Gfi1	Krtcap2	1	1	0	474847	0
Batf	Il2ra	1	1	0	474847.5	1
Nfe2l2	Dock9	1	1	0	474847.5	1
Fancm	Gdpd5	-1	1	0	474848.5	0
H1f0	Slfn2	-1	1	0	474848.5	0
Irf4	Atp6v1d	1	1	0	474848.5	0
Pml	Il12rb1	1	1	0	474848.5	0
Stat3	Tec	1	1	0	474849	1
Ets2	Tnk2	1	1	0	474850	1
Ing2	Sh3kbp1	1	1	0	474850	0
Tcf12	Cd83	-1	1	0	474850	1
Aes	Tnk2	1	1	0	474851	0
Gata3	Bc002230	1	1	0	474851	0
Sra1	Ulk2	-1	1	0	474851	0
Dnmt3a	Zfp568	1	1	0	474852.5	0
Tal2	Ctsw	-1	1	0	474852.5	0
Mxi1	Dyx1c1	-1	1	0	474853	1
Foxp1	Ypel3	1	1	0	474854	1
Klf7	Dusp6	1	1	0	474854	0
Mafg	Gm10345	1	1	0	474855	0
Ski	Procr	1	1	0	474855	0
Fosl2	Nlgn2	-1	1	0	474856	0
Klf4	Sms	-1	1	0	474857	0
Chd7	Rnf149	1	1	0	474858	0
Fancm	Bbc3	-1	1	0	474858	0
Myb	A430005l14rik	1	1	0	474858	0
Nfe2l2	Ifit1	1	1	0	474858	0
Nfkb1	Ppme1	-1	1	0	474858	0
Nucb2	Emp3	1	1	0	474858	0
Maff	Gfi1	1	1	0	474858.5	0
Mxi1	Id3	1	1	0	474859	1
Satb1	Cxcr5	1	1	0	474859	0
Zfp239	D930015e06rik	-1	1	0	474859	0
Mxi1	Rpn1	1	1	0	474859.5	1
Hif1a	Sema7a	1	1	0	474860	1
Klf7	Socs2	1	1	0	474860.5	1
Impdh1	Cd70	-1	1	0	474861	0
Nupr1	S100a6	1	1	0	474861	0
Pml	B4galnt1	-1	1	0	474861.5	0
Zfp36l1	Xylt2	1	1	0	474861.5	0
Klf3	Sidt1	1	1	0	474862	0
Irf5	Sox4	1	1	0	474862.5	0
Eomes	Haus8	-1	1	0	474863	0
Rel	Chka	-1	1	0	474863	0
Ing2	S100a6	1	1	0	474864	0
Nfkb1	0610012g03rik	-1	1	0	474865	0
Rora	Bc002230	-1	1	0	474865	0
Mafg	Rab7l1	1	1	0	474866	0
Vax2	Oas1b	-1	1	0	474866	0
H1f0	Tspan13	1	1	0	474866.5	0
Rad52	Agpat3	1	1	0	474866.5	0
Ncoa1	Ppp1cc	1	1	0	474867.5	0
Etv6	Ctss	1	1	0	474868	1
Kdm2b	Golm1	-1	1	0	474868	0
Mafg	Ulk2	1	1	0	474868	0
Zbed4	Ypel5	-1	1	0	474868	0
Satb1	Plagl1	1	1	0	474868.5	0
Zbed4	Nsf	1	1	0	474868.5	0
Bcl3	Jak3	-1	1	0	474869	0
Gfi1	0610012g03rik	-1	1	0	474869	0
Pml	Ulk2	1	1	0	474869	0
Dnmt3a	Cldnd1	-1	1	0	474869.5	0
Bcl3	Il2rb	-1	1	0	474870	0
Plagl1	Ndrg2	1	1	0	474870	0
Satb1	Dhrs4	-1	1	0	474870	0
Zfp36l1	Ifitm3	1	1	0	474870	0
Stat2	Cd5l	-1	1	0	474870.5	0
Rpa2	Nrp1	1	1	0	474871	0
Tbx21	Pex19	-1	1	0	474871	0
Gfi1	Stap1	1	1	0	474871.5	0
Nfatc1	Dlg3	1	1	0	474871.5	1
Akna	Rpn1	-1	1	0	474872	0
Sox4	Abhd14b	1	1	0	474872	1
Fosl2	Nln	-1	1	0	474872.5	1
Sox4	Stard5	1	1	0	474872.5	0
Nfatc1	Il7r	-1	1	0	474873	0
Creb1	Parp9	-1	1	0	474873.5	0
Egr3	Rab6	-1	1	0	474874	0
Hist3h2a	Myb	1	1	0	474874	0
Klf3	Sh2b1	-1	1	0	474874	0
Nupr1	C1s	1	1	0	474874	0
Sox4	Ifitm1	1	1	0	474874.5	0
Txk	Oas1b	1	1	0	474874.5	0
Gfi1	H2-ab1	1	1	0	474875	0
Stat4	Tmed3	1	1	0	474877	1
Rel	Rasal1	-1	1	0	474877.5	0
Stat4	Mmachc	1	1	0	474877.5	1
Zfp36l1	Cd81	-1	1	0	474877.5	0
Nfkb1	Pgam1	1	1	0	474878	0
Stat3	Icam2	-1	1	0	474878	1
Ikzf3	Tmed3	-1	1	0	474879	0
Zfp36l1	Ick	-1	1	0	474880	0
Rorc	Cxcr3	1	1	0	474881	0
Rad52	Il24	1	1	0	474882	0
Tcf12	Adarb1	1	1	0	474882	1
Fbxo18	Inpp5b	1	1	0	474882.5	0
Stat2	Chst12	-1	1	0	474883.5	0
Nfe2l2	Acvrl1	1	1	0	474884	0
Hist3h2a	Narg2	-1	1	0	474885	0
Hopx	Abhd14b	1	1	0	474885	0
Sap30	Il2rb	1	1	0	474885	0
Tbx21	Il3	-1	1	0	474885.5	0
Ets2	Rora	1	1	0	474886	1
Runx1	Nrp1	1	1	0	474886	1
Maf	Foxp1	1	1	0	474886.5	1
Mxi1	St14	-1	1	0	474886.5	0
Ift57	Cd86	1	1	0	474887	0
Zfp36l1	Pfkp	-1	1	0	474887	0
Son	Cs	-1	1	0	474889.5	0
Lef1	Mpzl2	1	1	0	474890	0
Akna	Fam160b1	1	1	0	474890.5	0
Akna	Lactb	1	1	0	474891	0
Maff	Chic2	-1	1	0	474891	0
Arid3a	Batf	1	1	0	474891.5	0
H2afx	Nrp1	1	1	0	474892	0
Lrrfip1	Tmem176b	1	1	0	474892	0
Pcbp4	Gata3	-1	1	0	474892	0
Lrrfip1	Ankra2	-1	1	0	474892.5	0
Thap4	Sytl2	-1	1	0	474892.5	0
H2afx	Mapkbp1	-1	1	0	474893	0
Mafg	Ncoa1	1	1	0	474893	1
Nfatc2	Pafah1b3	-1	1	0	474893	0
Hmgn1	Bc002230	1	1	0	474893.5	0
Pou2f2	Ifih1	-1	1	0	474893.5	0
Fancm	Ppic	1	1	0	474894	0
Klf3	Tpd52	-1	1	0	474894	1
Rxra	Gys1	1	1	0	474894	1
Tef	Rnf130	1	1	0	474894	0
Exo1	Haus8	1	1	0	474894.5	0
Bcl3	Gsn	-1	1	0	474895	0
Fbxo18	Heatr1	-1	1	0	474895	0
Ifih1	Bcl2l11	-1	1	0	474895	0
Irf4	Rnh1	1	1	0	474895	0
Sox4	Bmyc	-1	1	0	474895.5	0
Pbx2	Pfkp	1	1	0	474896	0
Chd7	Nln	-1	1	0	474896.5	0
Rpa2	Srgap3	-1	1	0	474896.5	0
Aes	Ergic1	-1	1	0	474897	0
Irf4	Son	-1	1	0	474897	1
Klf7	Clic1	1	1	0	474898	1
Pou2f2	Smek1	1	1	0	474898.5	1
Xrcc5	Ripk3	-1	1	0	474899	0
Akna	Gata3	1	1	0	474900	0
Thap4	Rpn1	1	1	0	474900	0
Egr2	Fam160b1	1	1	0	474900.5	0
Irf5	Prnp	1	1	0	474900.5	0
Nfkb1	Ifitm3	1	1	0	474900.5	0
Pou2f2	Epc1	1	1	0	474901	1
Zbed4	Ppme1	-1	1	0	474901	0
Atf6	Ahr	1	1	0	474902	0
Id2	2010002n04rik	1	1	0	474902	0
Ets2	Sytl1	1	1	0	474903	0
Rora	Sh3gl3	-1	1	0	474903	1
Stat2	Ifitm2	1	1	0	474903	0
Tcf12	Furin	1	1	0	474903	0
Klf10	Ccl22	-1	1	0	474903.5	0
Myb	1700081l11rik	-1	1	0	474903.5	0
Rpa2	Tnnt2	-1	1	0	474903.5	0
Aes	Ptger2	-1	1	0	474904	0
Arid5a	Pfkp	-1	1	0	474904	0
Stat2	Pacsin1	1	1	0	474904	1
Egr2	Lpp	1	1	0	474905	0
Nfe2l2	Bzw2	-1	1	0	474906	0
Cebpb	Thap4	-1	1	0	474907	0
H1f0	Inpp5a	-1	1	0	474907	0
Hist3h2a	2610019f03rik	1	1	0	474907	0
Son	Tnfsf4	-1	1	0	474907.5	0
Eomes	Adck1	1	1	0	474908	0
Pcbp4	Tpd52	1	1	0	474908	0
Sap30	Ldlrap1	-1	1	0	474908	0
Hmgn1	Tmem71	-1	1	0	474909	0
Klf7	Slc35d1	-1	1	0	474909.5	0
Klf3	Rpl14	-1	1	0	474910	0
Ahr	Akap12	-1	1	0	474910.5	0
Ets1	B230312a22rik	-1	1	0	474910.5	0
Rxra	P4ha2	1	1	0	474910.5	0
Tcf12	Clybl	-1	1	0	474911	0
Thap4	Ss18	-1	1	0	474911	0
Ski	Ripk3	1	1	0	474912	0
Zfp426	Tmem184b	-1	1	0	474912	0
Klf4	Aldh3a2	1	1	0	474912.5	1
Impdh1	Tnip2	1	1	0	474913	0
Mafg	Myb	1	1	0	474914	0
Satb1	Afp	-1	1	0	474914	0
Son	Spry1	1	1	0	474914	0
Zfp36l1	Tspan3	-1	1	0	474915.5	0
Klf7	Mycbp2	-1	1	0	474916	0
Nfatc1	Ehd4	-1	1	0	474916	0
Stat3	Ulk2	1	1	0	474916	0
Dnmt3b	Tubgcp5	1	1	0	474916.5	0
Chd7	2810021b07rik	1	1	0	474917	0
Nfatc1	Cs	1	1	0	474917	0
Ets2	Fes	-1	1	0	474918.5	1
Gata3	Agpat3	-1	1	0	474919	0
Rora	Irf5	-1	1	0	474919	0
Sirt2	Anxa3	1	1	0	474919	0
Etv6	Nefh	-1	1	0	474919.5	1
Hmgn1	Fancm	1	1	0	474919.5	0
Dnmt3a	Rasal1	1	1	0	474920	0
Rxra	H2-q10	1	1	0	474920.5	0
Prkrir	0610012g03rik	-1	1	0	474921	0
Nfatc1	Ccdc21	1	1	0	474922	0
Stat2	Sphk1	1	1	0	474922	0
Trib3	Pmepa1	-1	1	0	474922.5	0
Etv6	Akr1c13	1	1	0	474923	1
Nfe2l2	Cst3	-1	1	0	474923.5	0
Foxp1	Ccbl2	-1	1	0	474924	0
Rad52	Ppic	-1	1	0	474924	0
Stat4	Sh3kbp1	-1	1	0	474924	0
Foxo1	H2-q10	-1	1	0	474925.5	0
Fbxo18	Cyp51	1	1	0	474926	0
Fli1	Rexo4	-1	1	0	474926	1
Klf3	Egr3	1	1	0	474926	0
Mxi1	Pcgf1	-1	1	0	474926	0
Plagl1	Pck2	1	1	0	474926	0
Aes	Phlda3	-1	1	0	474927	0
Nupr1	Pfkp	1	1	0	474927	0
Pknox1	Dtl	-1	1	0	474927	0
Rara	Timp1	-1	1	0	474927	0
Tbx21	Psmd8	-1	1	0	474927	0
Zfp239	Sytl3	-1	1	0	474927	0
Prkrir	Phlda3	1	1	0	474927.5	0
Crebbp	Inadl	1	1	0	474928	0
Maff	Trmt5	1	1	0	474928.5	0
Hif1a	Ndufv3	1	1	0	474929	0
Irf5	Crip1	-1	1	0	474929.5	0
Cebpb	Il1r1	1	1	0	474930	0
Nupr1	Pde6d	1	1	0	474930.5	0
Nfyb	Map4k4	-1	1	0	474931	0
Zfp426	Lrmp	1	1	0	474931	0
Zfp426	Phlda3	1	1	0	474931	0
Atf6	Cd200r1	1	1	0	474932	0
Irf4	Mboat2	1	1	0	474932	1
Stat2	Calhm2	-1	1	0	474932	0
Id2	Hook2	1	1	0	474932.5	0
Nucb2	Marcks	1	1	0	474932.5	0
Inhba	Capg	1	1	0	474933	0
Rxra	Lif	1	1	0	474933	1
Ski	Slc25a38	1	1	0	474933.5	0
Vax2	Ski	-1	1	0	474934.5	0
H1f0	Mboat7	1	1	0	474935	0
Tox	Csf2	-1	1	0	474935	0
Pknox1	Egln1	-1	1	0	474935.5	0
Son	Sra1	1	1	0	474935.5	0
Ercc5	Snx11	1	1	0	474936	0
H1f0	Runx1	-1	1	0	474937	0
Nupr1	D1ertd622e	-1	1	0	474937	0
Thap4	Flna	-1	1	0	474937	0
Fosl2	Rab33a	-1	1	0	474939	0
Ercc5	Reps1	1	1	0	474939.5	0
Kdm2b	Tlcd2	-1	1	0	474939.5	0
Fosl2	Lpxn	1	1	0	474940	1
Mafg	Tspyl4	1	1	0	474940	1
Sra1	Adam9	1	1	0	474940	0
Tcf12	Tmc6	-1	1	0	474941	0
Phtf2	Rasal1	1	1	0	474941.5	0
Batf3	Anxa3	1	1	0	474943	0
Ift57	Inpp5a	-1	1	0	474943	0
Nfyb	Xylt2	1	1	0	474943	0
Klf10	Ppp1cc	1	1	0	474944	0
Prkrir	Inhba	-1	1	0	474944	0
Son	Reps1	-1	1	0	474944	0
Stat2	S100a6	1	1	0	474944	1
Tbx21	Prkca	-1	1	0	474945	1
Fbxo18	Sc4mol	1	1	0	474946	0
Max	Prickle1	1	1	0	474946	1
Nfe2l2	Myo10	1	1	0	474946	1
Rara	Chchd7	1	1	0	474946	0
Trib3	Sema4f	1	1	0	474946.5	0
Irf5	Socs1	1	1	0	474947	1
Myb	Trp53i13	1	1	0	474947	0
Nfkb1	Maged2	1	1	0	474947	1
Maf	Aste1	1	1	0	474947.5	1
Stat4	Dpp4	-1	1	0	474948	1
Dnmt3a	Ripk3	-1	1	0	474948.5	0
Zfp36l1	Dtl	-1	1	0	474948.5	0
Aes	Il3	-1	1	0	474949	0
Creb1	Mboat7	1	1	0	474949	0
Kdm2b	Clic1	1	1	0	474949	0
Runx1	Dpp4	1	1	0	474949.5	1
Son	Capg	-1	1	0	474949.5	0
Atf6	Cyr61	1	1	0	474950	0
Mxi1	Il15ra	-1	1	0	474950	1
Zfp36l1	A2ld1	-1	1	0	474950	0
Trib3	Fam165b	-1	1	0	474951	0
Aes	Gpsm2	1	1	0	474951.5	0
Batf	Cd74	-1	1	0	474951.5	1
Nfe2l2	Tnip2	1	1	0	474951.5	0
Crebbp	Ankrd13c	1	1	0	474952.5	0
Gfi1	Zfp238	-1	1	0	474952.5	0
Fosl2	Acvrl1	-1	1	0	474953	0
Ing2	Itpk1	1	1	0	474953	0
Mxi1	Phldb1	1	1	0	474953.5	0
Pbx2	Hist3h2a	1	1	0	474954	0
Fosl2	Narg2	-1	1	0	474954.5	0
Smarca2	Pag1	1	1	0	474954.5	0
Exo1	Ankra2	-1	1	0	474955	0
Vax2	Abcg1	-1	1	0	474955	0
Myb	Traf6	1	1	0	474957	0
Batf	Ltb4r1	1	1	0	474957.5	0
H2afx	Serpinc1	1	1	0	474957.5	0
Eomes	Tnfrsf1a	-1	1	0	474958	0
Id2	Nudt4	1	1	0	474958	0
Ing2	Serpine1	1	1	0	474958	0
Irf4	Ppcdc	1	1	0	474958	1
Lef1	C2cd3	1	1	0	474958	0
Ercc5	Cyr61	1	1	0	474959.5	0
Akna	Sra1	-1	1	0	474960	0
Klf10	Igfbp4	1	1	0	474960	0
Dnmt3a	Gpr83	-1	1	0	474960.5	0
Irf4	Ccl1	1	1	0	474960.5	0
Stat4	Als2cl	-1	1	0	474961	0
Tef	Epcam	1	1	0	474961.5	0
Ahr	Ckap4	1	1	0	474962	0
Hopx	Snx10	1	1	0	474962	0
Irf5	Cyp2s1	1	1	0	474962	0
Stat3	Dnajc27	-1	1	0	474962	0
Pcbp4	Srxn1	-1	1	0	474962.5	0
Gata3	Ptp4a1	1	1	0	474963	0
Ppp1r10	Dusp22	-1	1	0	474963	0
Rad52	Abhd14b	1	1	0	474963	0
Klf10	Tsga14	1	1	0	474964	0
Rel	Sms	-1	1	0	474964	0
Crebbp	Parp16	-1	1	0	474964.5	0
H1f0	Cd80	-1	1	0	474964.5	0
Gfi1	Chm	-1	1	0	474965	0
Aes	Zfp362	1	1	0	474966.5	0
Dnmt3a	Rassf1	-1	1	0	474966.5	0
Sox4	Tsga14	1	1	0	474966.5	0
Batf	Ikzf4	1	1	0	474967	1
Kdm2b	Serpinc1	-1	1	0	474967	0
Hmgn1	Xrcc5	1	1	0	474967.5	0
Bcl11b	Tm9sf4	-1	1	0	474969	0
Mafg	Golm1	1	1	0	474969	0
Gfi1	Tnfsf11	1	1	0	474969.5	0
Fosl2	Sytl2	1	1	0	474970	0
Maff	Ppme1	-1	1	0	474970	0
Nfil3	Ehd3	1	1	0	474970	0
Rara	S100a6	-1	1	0	474970	0
Zbed4	Ephx1	-1	1	0	474971	0
Nfe2l2	Lbp	1	1	0	474971.5	0
Nupr1	Ndufv3	1	1	0	474971.5	0
Zfp239	Smpd4	1	1	0	474971.5	0
Bcl11b	Gfi1	-1	1	0	474972	0
Sox4	Pml	-1	1	0	474972	0
Zfp36l1	Slc3a2	1	1	0	474972	0
Hopx	Eaf2	1	1	0	474973.5	0
Gfi1	Mina	-1	1	0	474974	0
Crem	Ascc1	-1	1	0	474975	0
Zfp36l1	Epc1	1	1	0	474975.5	0
Zfp36l1	Fbxo11	1	1	0	474976	0
Ing2	Ascc1	1	1	0	474976.5	0
H1f0	Eno3	1	1	0	474977	0
Impdh1	Capn2	-1	1	0	474977.5	0
Aes	Ankra2	-1	1	0	474978	0
Aes	Syf2	1	1	0	474978	0
Dnmt3a	Ccr7	-1	1	0	474978	0
Zfp239	D1ertd622e	-1	1	0	474978	0
Nfatc2	Lrrfip1	1	1	0	474979.5	1
Rbpj	Stard5	1	1	0	474979.5	0
Foxp1	Egln1	-1	1	0	474980	0
Aes	Ccr8	-1	1	0	474981	0
Sap30	Ift57	1	1	0	474981	0
Mxd1	Dip2b	1	1	0	474981.5	0
Son	Stra6	-1	1	0	474981.5	0
Foxo1	Xdh	1	1	0	474983	1
Son	Abcd3	-1	1	0	474983	0
Myb	Ms4a6c	-1	1	0	474983.5	0
Pcbp4	Cd28	1	1	0	474983.5	0
Nfil3	Herc4	1	1	0	474984	0
Pbx2	Pla1a	-1	1	0	474984	0
Pbx2	Rap2b	1	1	0	474984	0
Prkrir	Lbp	-1	1	0	474984	0
Nfatc1	Maoa	1	1	0	474984.5	0
Klf3	Abhd14b	-1	1	0	474985	0
Tbx21	9030617o03rik	1	1	0	474985	0
Phtf2	Rab4b	-1	1	0	474986	0
Ing2	Ankrd57	1	1	0	474986.5	0
Ets1	Ulk2	-1	1	0	474987	0
Stat4	Thra	-1	1	0	474987	0
Thap4	Pou2f2	1	1	0	474988	0
Gata3	Sqle	-1	1	0	474988.5	0
H1f0	Wwp1	1	1	0	474988.5	0
Nfil3	M6pr	-1	1	0	474988.5	0
Stat4	Rtn4	-1	1	0	474988.5	0
Nfe2l2	Ergic1	-1	1	0	474989	0
Pbx2	Bex1	1	1	0	474989	0
Klf3	Ahr	1	1	0	474990	0
Ifih1	Cmah	1	1	0	474990.5	0
Sirt2	Ckap4	1	1	0	474990.5	0
Etv6	Rbm43	-1	1	0	474991	1
Txk	Lrmp	-1	1	0	474991	0
Hif1a	Amz2	1	1	0	474991.5	0
Ets1	Penk	-1	1	0	474992	0
Maff	Ap4m1	-1	1	0	474992	0
Dnmt3b	Bzw2	1	1	0	474993	0
Arid5a	Rab33a	-1	1	0	474994	0
Creb1	Chm	-1	1	0	474994	0
Sox4	Car2	1	1	0	474994	0
Mxi1	Serpine2	-1	1	0	474994.5	0
Satb1	Myd88	-1	1	0	474995	0
Gata3	B3gnt2	1	1	0	474996	1
Zfp426	Tubgcp5	1	1	0	474996	0
Klf4	Flot1	1	1	0	474997	1
Nfkb1	Fut8	1	1	0	474997	0
Egr3	Il1r1	-1	1	0	474998	0
Nfil3	Evi2a	1	1	0	474998	0
Stat2	Nudt4	1	1	0	474998	0
Nfe2l2	Pacs1	1	1	0	474998.5	1
Batf3	Sh2d3c	-1	1	0	474999	0
Ets2	Tprkb	-1	1	0	474999	0
Lrrfip1	Ccr7	-1	1	0	475000	0
Sap30	Galk1	1	1	0	475000	0
Akna	Ppcdc	1	1	0	475001	0
Chd7	Hspa4l	1	1	0	475001	0
Ing2	Dpp4	1	1	0	475001	0
Kdm2b	Glipr2	-1	1	0	475001	0
Impdh1	Ell2	-1	1	0	475002	0
Ing2	Myb	1	1	0	475002	0
Rbpj	Sytl3	1	1	0	475002	0
Klf10	Gyk	-1	1	0	475002.5	0
Ets2	Pet112l	-1	1	0	475003	0
Nfkb1	Wdr82	-1	1	0	475003	0
Arid3a	Rilpl2	-1	1	0	475003.5	1
Ifih1	Ubtd1	-1	1	0	475004	0
Rad52	Ltb4r1	1	1	0	475004	0
Zfp239	Ifit2	1	1	0	475004	0
Foxo1	Prkcd	1	1	0	475004.5	0
Tef	9030617o03rik	1	1	0	475004.5	0
Cebpb	Syf2	1	1	0	475005	0
Pou2f2	Fbxo2	-1	1	0	475005	1
Trim24	Spn	1	1	0	475005	0
Rara	Pml	-1	1	0	475005.5	0
Arid5a	Lad1	-1	1	0	475006	0
Chd7	Sema4a	1	1	0	475006	0
Creb1	Ehd4	1	1	0	475006.5	0
Nfil3	Il3	-1	1	0	475006.5	0
Ski	Dci	-1	1	0	475007	0
Zbed4	Nupr1	-1	1	0	475007	0
Ncoa1	Gne	-1	1	0	475007.5	0
Rel	Chchd7	-1	1	0	475007.5	0
Klf10	Perp	-1	1	0	475008	0
Zfp36l1	Bnip3	-1	1	0	475008	0
Impdh1	Tbx21	-1	1	0	475009	0
Mxi1	Fut8	-1	1	0	475009	0
Vax2	Egln1	1	1	0	475009	0
Sox4	Ankmy2	-1	1	0	475009.5	0
Vax2	Chchd7	1	1	0	475009.5	0
Dffb	Clk3	-1	1	0	475010	0
Pou2f2	Plac8	-1	1	0	475010	0
Rel	Rab6	1	1	0	475010	0
Creb1	Gem	-1	1	0	475011	1
Exo1	Bex1	-1	1	0	475011	0
Stat3	Socs3	1	1	0	475011	1
Arid3a	Tsc22d1	1	1	0	475011.5	0
Myb	Vegfb	1	1	0	475012	0
Zfp239	Nln	1	1	0	475012	0
Ift57	Snx19	1	1	0	475012.5	0
Zfp36l1	Vegfb	-1	1	0	475012.5	0
Pou2f2	Fyn	1	1	0	475013	1
Cebpb	Mxd1	1	1	0	475014	0
H1f0	Athl1	1	1	0	475014	0
Ing2	Smpd4	-1	1	0	475014	0
Klf4	B4galt1	1	1	0	475014	1
Phtf2	Il3	1	1	0	475014	0
Phtf2	Ndrg4	-1	1	0	475014	0
Sox4	Txk	1	1	0	475014	0
Nfil3	Myd88	1	1	0	475014.5	0
Akna	Csf2	1	1	0	475015	0
Eomes	Pml	-1	1	0	475015	0
Fosl2	9030617o03rik	-1	1	0	475015	0
Lef1	Spnb2	1	1	0	475015	1
Kdm2b	Mapk3	-1	1	0	475016	0
Vax2	Mpzl2	-1	1	0	475016	0
Ets1	Rcan3	-1	1	0	475017	1
Fbxo18	Sars	1	1	0	475017	0
Ikzf4	Trps1	1	1	0	475017	0
Pknox1	Tnfrsf13c	1	1	0	475017	0
Fancm	Myd88	1	1	0	475018	0
Rel	Mboat7	-1	1	0	475018	0
Fbxo18	Zfp362	1	1	0	475018.5	0
